Name,Rider Number,Team Name,Time Hour,Time Minutes,Time Seconds
M. BALLERSTEDT,72,ALPECIN-DECEUNINCK,4,45,20
O. RIESEBEEK,77,ALPECIN-DECEUNINCK,4,45,20
K. GROVES,71,ALPECIN-DECEUNINCK,4,45,20
J. HOLLMANN,74,ALPECIN-DECEUNINCK,4,45,20
J. TARLING,28,INEOS GRENADIERS,4,45,20
J. ABERASTURI IZAGA,212,EUSKALTEL-EUSKADI,4,45,20
N. DENZ,64,RED BULL - BORA - HANSGROHE,4,45,20
E. AFFINI,2,TEAM VISMA | LEASE A BIKE,4,46,11
T. NABERMAN,176,TEAM DSM-FIRMENICH POSTNL,4,46,11
E. GESBERT,152,ARKEA-B&B HOTELS,4,47,36
